Congress,congress,Year,DemHousePct,DemSenatePct
1st,1,1789,.40625,.34615386
2nd,2,1791,.47142857,.44827586
3rd,3,1793,.54285717,.43333334
4th,4,1795,.49056602,.40625
5th,5,1797,.4528302,.375
6th,6,1799,.39622641,.40625
7th,7,1801,.65714288,.58064514
8th,8,1803,.72340423,.7352941
9th,9,1805,.82269502,.79411763
10th,10,1807,.8309859,.82352942
11th,11,1809,.66197181,.83333331
12th,12,1811,.75,.83333331
13th,13,1813,.62222224,.75
14th,14,1815,.64285713,.69444442
15th,15,1817,.77049178,.77272725
16th,16,1819,.85245901,.83333331
17th,17,1821,.863388,.91666669
18th,18,1823,.87793428,.91666669
19th,19,1825,.48019803,.43478262
20th,20,1827,.55868542,.58333331
21st,21,1829,.65258217,.54166669
22nd,22,1831,.7085427,.54347825
23rd,23,1833,.73500001,.5
24th,24,1835,.59670782,.51923078
25th,25,1837,.50232559,.625
26th,26,1839,.51239669,.56
27th,27,1841,.43404257,.44
28th,28,1843,.64253396,.52830189
29th,29,1845,.64999998,.5535714
30th,30,1847,.4843049,.63157892
31st,31,1849,.50678736,.58333331
32nd,32,1851,.61403507,.59322035
33rd,33,1853,.69130433,.63333333
34th,34,1855,.43455499,.72727275
35th,35,1857,.56190479,.64285713
36th,36,1859,.44660193,.58064514
37th,37,1861,.29054052,.24390244
38th,38,1863,.42372882,.19999999
39th,39,1865,.2198953,.19230771
40th,40,1867,.25520831,.20754719
41st,41,1869,.2971698,.16417909
42nd,42,1871,.43697476,.24637681
43rd,43,1873,.32167834,.27941179
44th,44,1875,.60791367,.3918919
45th,45,1877,.52218431,.48000002
46th,46,1879,.53405017,.56
47th,47,1881,.47872341,.5
48th,48,1883,.62539685,.48648649
49th,49,1885,.56656349,.44155842
50th,50,1887,.52647972,.4868421
51st,51,1889,.48923075,.5131579
52nd,52,1891,.7275542,.45348835
53rd,53,1893,.63188404,.53658539
54th,54,1895,.30085957,.47560978
55th,55,1897,.35646689,.41975307
56th,56,1899,.46839082,.3291139
57th,57,1901,.43390805,.36046511
58th,58,1903,.46113992,.36666667
59th,59,1905,.35233158,.36666667
60th,60,1907,.42487049,.3369565
61st,61,1909,.43989772,.34408605
62nd,62,1911,.58611828,.44565219
63rd,63,1913,.69617224,.53684211
64th,64,1915,.53990608,.58333331
65th,65,1917,.50704223,.55789477
66th,66,1919,.44186044,.48958331
67th,67,1921,.30324072,.38541669
68th,68,1923,.47674417,.45744681
69th,69,1925,.4255814,.41052634
70th,70,1927,.4513889,.48421055
71st,71,1929,.38479263,.41052634
72nd,72,1931,.50691247,.49473685
73rd,73,1933,.7259953,.63157892
74th,74,1935,.75592417,.73404253
75th,75,1937,.78809524,.82608694
76th,76,1939,.61411762,.75
77th,77,1941,.62325579,.70212764
78th,78,1943,.51173711,.61052632
79th,79,1945,.56018519,.66666669
80th,80,1947,.43418014,.53125
81st,81,1949,.60599077,.5625
82nd,82,1951,.5404157,.51041669
83rd,83,1953,.48842591,.49473685
84th,84,1955,.53333336,.50526315
85th,85,1957,.53810626,.51041669
86th,86,1959,.64908254,.65306121
87th,87,1961,.60183066,.64999998
88th,88,1963,.59310347,.67000002
89th,89,1965,.67816091,.68000001
90th,90,1967,.5691244,.63999999
91st,91,1969,.55862069,.56999999
92nd,92,1971,.58525348,.55102038
93rd,93,1973,.55452436,.5714286
94th,94,1975,.66896552,.61855668
95th,95,1977,.67126435,.61616164
96th,96,1979,.63741338,.58585858
97th,97,1981,.55862069,.46464646
98th,98,1983,.61751151,.44999999
99th,99,1985,.58064514,.47000003
100th,100,1987,.59310347,.55000001
101st,101,1989,.5981524,.55000001
102nd,102,1991,.61520737,.56
103rd,103,1993,.59447002,.56999999
104th,104,1995,.4700461,.48000002
105th,105,1997,.47586206,.44999999
106th,106,1999,.48505747,.44999999
107th,107,2001,.48965517,.5
108th,108,2003,.47126436,.49000001
109th,109,2005,.46206897,.44999999
110th,110,2007,.53563219,.50999999
111th,111,2009,.59080458,.56999999
112th,112,2011,.44367817,.52999997
113th,113,2013,.46206897,.55000001
114th,114,2015,.43218392,.46000001
115th,115,2017,.445977,.49000001
116th,116,2019,.54022998,.47
