"","year","price","paraguay"
"1",1964,19252,-9
"2",1965,19418,-9
"3",1966,19618,-9
"4",1967,19730,-8
"5",1968,19605,-8
"6",1969,18817,-8
"7",1970,18331,-8
"8",1971,18706,-8
"9",1972,16677,-8
"10",1973,16161,-8
"11",1974,17192,-8
"12",1975,17806,-8
"13",1976,16792,-8
"14",1977,16569,-8
"15",1978,15698,-8
"16",1979,15601,-8
"17",1980,16327,-8
"18",1981,17642,-8
"19",1982,17875,-8
"20",1983,18381,-8
"21",1984,17218,-8
"22",1985,18469,-8
"23",1986,16531,-8
"24",1987,17844,-8
"25",1988,22606,-8
"26",1989,18394,2
"27",1990,18234,2
"28",1991,24556,2
"29",1992,24111,7
"30",1993,24289,7
"31",1994,22712,7
"32",1995,23698,7
"33",1996,24384,7
"34",1997,24112,7
"35",1998,24971,6
"36",1999,24916,7
"37",2000,24457,7
"38",2001,24328,7
"39",2002,24482,7
"40",2003,24272,8
"41",2004,24216,8
"42",2005,24797,8
"43",2006,23897,8
"44",2007,23399,8
"45",2008,23002,8
"46",2009,24001,8
"47",2010,24729,8
"48",2011,24812,8
"49",2012,24490,8
"50",2013,24018,9
"51",2014,23964,9
"52",2015,25308,9
"53",2016,25355,9
"54",2017,25895,9
"55",2018,25776,9
"56",2019,26395,9
