ccode1,year,abbrev1,ISOLgNm1,polity21
31,2000,BHM,Commonwealth of the Bahamas,0
31,2000,BHM,Commonwealth of the Bahamas,0
31,2000,BHM,Commonwealth of the Bahamas,0
31,2000,BHM,Commonwealth of the Bahamas,0
31,2000,BHM,Commonwealth of the Bahamas,0
31,2000,BHM,Commonwealth of the Bahamas,0
31,2000,BHM,Commonwealth of the Bahamas,0
53,2000,BAR,,0
53,2000,BAR,,0
53,2000,BAR,,0
53,2000,BAR,,0
53,2000,BAR,,0
53,2000,BAR,,0
53,2000,BAR,,0
54,2000,DMA,Commonwealth of Dominica,0
54,2000,DMA,Commonwealth of Dominica,0
54,2000,DMA,Commonwealth of Dominica,0
54,2000,DMA,Commonwealth of Dominica,0
54,2000,DMA,Commonwealth of Dominica,0
54,2000,DMA,Commonwealth of Dominica,0
54,2000,DMA,Commonwealth of Dominica,0
55,2000,GRN,,0
55,2000,GRN,,0
55,2000,GRN,,0
55,2000,GRN,,0
55,2000,GRN,,0
55,2000,GRN,,0
55,2000,GRN,,0
56,2000,SLU,,0
56,2000,SLU,,0
56,2000,SLU,,0
56,2000,SLU,,0
56,2000,SLU,,0
56,2000,SLU,,0
56,2000,SLU,,0
57,2000,SVG,,0
57,2000,SVG,,0
57,2000,SVG,,0
57,2000,SVG,,0
57,2000,SVG,,0
57,2000,SVG,,0
57,2000,SVG,,0
58,2000,AAB,,0
58,2000,AAB,,0
58,2000,AAB,,0
58,2000,AAB,,0
58,2000,AAB,,0
58,2000,AAB,,0
58,2000,AAB,,0
60,2000,SKN,,0
60,2000,SKN,,0
60,2000,SKN,,0
60,2000,SKN,,0
60,2000,SKN,,0
60,2000,SKN,,0
60,2000,SKN,,0
80,2000,BLZ,,0
80,2000,BLZ,,0
80,2000,BLZ,,0
80,2000,BLZ,,0
80,2000,BLZ,,0
80,2000,BLZ,,0
80,2000,BLZ,,0
80,2000,BLZ,,0
80,2000,BLZ,,0
115,2000,SUR,Republic of Suriname,0
115,2000,SUR,Republic of Suriname,0
115,2000,SUR,Republic of Suriname,0
115,2000,SUR,Republic of Suriname,0
115,2000,SUR,Republic of Suriname,0
115,2000,SUR,Republic of Suriname,0
115,2000,SUR,Republic of Suriname,0
115,2000,SUR,Republic of Suriname,0
115,2000,SUR,Republic of Suriname,0
135,2000,PER,Republic of Peru,0
135,2000,PER,Republic of Peru,0
135,2000,PER,Republic of Peru,0
135,2000,PER,Republic of Peru,0
135,2000,PER,Republic of Peru,0
135,2000,PER,Republic of Peru,0
135,2000,PER,Republic of Peru,0
135,2000,PER,Republic of Peru,0
135,2000,PER,Republic of Peru,0
135,2000,PER,Republic of Peru,0
135,2000,PER,Republic of Peru,0
135,2000,PER,Republic of Peru,0
212,2000,LUX,Grand Duchy of Luxembourg,0
212,2000,LUX,Grand Duchy of Luxembourg,0
212,2000,LUX,Grand Duchy of Luxembourg,0
212,2000,LUX,Grand Duchy of Luxembourg,0
212,2000,LUX,Grand Duchy of Luxembourg,0
212,2000,LUX,Grand Duchy of Luxembourg,0
212,2000,LUX,Grand Duchy of Luxembourg,0
212,2000,LUX,Grand Duchy of Luxembourg,0
221,2000,MNC,Principality of Monaco,0
221,2000,MNC,Principality of Monaco,0
221,2000,MNC,Principality of Monaco,0
221,2000,MNC,Principality of Monaco,0
221,2000,MNC,Principality of Monaco,0
221,2000,MNC,Principality of Monaco,0
221,2000,MNC,Principality of Monaco,0
223,2000,LIE,Principality of Liechtenstein,0
223,2000,LIE,Principality of Liechtenstein,0
223,2000,LIE,Principality of Liechtenstein,0
223,2000,LIE,Principality of Liechtenstein,0
223,2000,LIE,Principality of Liechtenstein,0
223,2000,LIE,Principality of Liechtenstein,0
223,2000,LIE,Principality of Liechtenstein,0
223,2000,LIE,Principality of Liechtenstein,0
223,2000,LIE,Principality of Liechtenstein,0
232,2000,AND,Principality of Andorra,0
232,2000,AND,Principality of Andorra,0
232,2000,AND,Principality of Andorra,0
232,2000,AND,Principality of Andorra,0
232,2000,AND,Principality of Andorra,0
232,2000,AND,Principality of Andorra,0
232,2000,AND,Principality of Andorra,0
232,2000,AND,Principality of Andorra,0
331,2000,SNM,Republic of San Marino,0
331,2000,SNM,Republic of San Marino,0
331,2000,SNM,Republic of San Marino,0
331,2000,SNM,Republic of San Marino,0
331,2000,SNM,Republic of San Marino,0
331,2000,SNM,Republic of San Marino,0
331,2000,SNM,Republic of San Marino,0
331,2000,SNM,Republic of San Marino,0
338,2000,MLT,Republic of Malta,0
338,2000,MLT,Republic of Malta,0
338,2000,MLT,Republic of Malta,0
338,2000,MLT,Republic of Malta,0
338,2000,MLT,Republic of Malta,0
338,2000,MLT,Republic of Malta,0
338,2000,MLT,Republic of Malta,0
346,2000,BOS,,0
346,2000,BOS,,0
346,2000,BOS,,0
346,2000,BOS,,0
346,2000,BOS,,0
346,2000,BOS,,0
346,2000,BOS,,0
346,2000,BOS,,0
346,2000,BOS,,0
395,2000,ICE,Republic of Iceland,0
395,2000,ICE,Republic of Iceland,0
395,2000,ICE,Republic of Iceland,0
395,2000,ICE,Republic of Iceland,0
395,2000,ICE,Republic of Iceland,0
395,2000,ICE,Republic of Iceland,0
395,2000,ICE,Republic of Iceland,0
402,2000,CAP,Republic of Cape Verde,0
402,2000,CAP,Republic of Cape Verde,0
402,2000,CAP,Republic of Cape Verde,0
402,2000,CAP,Republic of Cape Verde,0
402,2000,CAP,Republic of Cape Verde,0
402,2000,CAP,Republic of Cape Verde,0
402,2000,CAP,Republic of Cape Verde,0
403,2000,STP,Democratic Republic of Sao Tome and Principe,0
403,2000,STP,Democratic Republic of Sao Tome and Principe,0
403,2000,STP,Democratic Republic of Sao Tome and Principe,0
403,2000,STP,Democratic Republic of Sao Tome and Principe,0
403,2000,STP,Democratic Republic of Sao Tome and Principe,0
403,2000,STP,Democratic Republic of Sao Tome and Principe,0
403,2000,STP,Democratic Republic of Sao Tome and Principe,0
591,2000,SEY,Republic of Seychelles,0
591,2000,SEY,Republic of Seychelles,0
591,2000,SEY,Republic of Seychelles,0
591,2000,SEY,Republic of Seychelles,0
591,2000,SEY,Republic of Seychelles,0
591,2000,SEY,Republic of Seychelles,0
591,2000,SEY,Republic of Seychelles,0
660,2000,LEB,Lebanese Republic,0
660,2000,LEB,Lebanese Republic,0
660,2000,LEB,Lebanese Republic,0
660,2000,LEB,Lebanese Republic,0
660,2000,LEB,Lebanese Republic,0
660,2000,LEB,Lebanese Republic,0
660,2000,LEB,Lebanese Republic,0
660,2000,LEB,Lebanese Republic,0
660,2000,LEB,Lebanese Republic,0
781,2000,MAD,Republic of Maldives,0
781,2000,MAD,Republic of Maldives,0
781,2000,MAD,Republic of Maldives,0
781,2000,MAD,Republic of Maldives,0
781,2000,MAD,Republic of Maldives,0
781,2000,MAD,Republic of Maldives,0
781,2000,MAD,Republic of Maldives,0
835,2000,BRU,,0
835,2000,BRU,,0
835,2000,BRU,,0
835,2000,BRU,,0
835,2000,BRU,,0
835,2000,BRU,,0
835,2000,BRU,,0
835,2000,BRU,,0
935,2000,VAN,Republic of Vanuatu,0
935,2000,VAN,Republic of Vanuatu,0
935,2000,VAN,Republic of Vanuatu,0
935,2000,VAN,Republic of Vanuatu,0
935,2000,VAN,Republic of Vanuatu,0
935,2000,VAN,Republic of Vanuatu,0
935,2000,VAN,Republic of Vanuatu,0
946,2000,KIR,Republic of Kiribati,0
946,2000,KIR,Republic of Kiribati,0
946,2000,KIR,Republic of Kiribati,0
946,2000,KIR,Republic of Kiribati,0
946,2000,KIR,Republic of Kiribati,0
946,2000,KIR,Republic of Kiribati,0
946,2000,KIR,Republic of Kiribati,0
947,2000,TUV,,0
947,2000,TUV,,0
947,2000,TUV,,0
947,2000,TUV,,0
947,2000,TUV,,0
947,2000,TUV,,0
947,2000,TUV,,0
955,2000,TON,Kingdom of Tonga,0
955,2000,TON,Kingdom of Tonga,0
955,2000,TON,Kingdom of Tonga,0
955,2000,TON,Kingdom of Tonga,0
955,2000,TON,Kingdom of Tonga,0
955,2000,TON,Kingdom of Tonga,0
955,2000,TON,Kingdom of Tonga,0
970,2000,NAU,Republic of Nauru,0
970,2000,NAU,Republic of Nauru,0
970,2000,NAU,Republic of Nauru,0
970,2000,NAU,Republic of Nauru,0
970,2000,NAU,Republic of Nauru,0
970,2000,NAU,Republic of Nauru,0
970,2000,NAU,Republic of Nauru,0
983,2000,MSI,Republic of the Marshall Islands,0
983,2000,MSI,Republic of the Marshall Islands,0
983,2000,MSI,Republic of the Marshall Islands,0
983,2000,MSI,Republic of the Marshall Islands,0
983,2000,MSI,Republic of the Marshall Islands,0
983,2000,MSI,Republic of the Marshall Islands,0
983,2000,MSI,Republic of the Marshall Islands,0
986,2000,PAL,Republic of Palau,0
986,2000,PAL,Republic of Palau,0
986,2000,PAL,Republic of Palau,0
986,2000,PAL,Republic of Palau,0
986,2000,PAL,Republic of Palau,0
986,2000,PAL,Republic of Palau,0
986,2000,PAL,Republic of Palau,0
987,2000,FSM,Federated States of Micronesia,0
987,2000,FSM,Federated States of Micronesia,0
987,2000,FSM,Federated States of Micronesia,0
987,2000,FSM,Federated States of Micronesia,0
987,2000,FSM,Federated States of Micronesia,0
987,2000,FSM,Federated States of Micronesia,0
987,2000,FSM,Federated States of Micronesia,0
990,2000,WSM,Independent State of Samoa,0
990,2000,WSM,Independent State of Samoa,0
990,2000,WSM,Independent State of Samoa,0
990,2000,WSM,Independent State of Samoa,0
990,2000,WSM,Independent State of Samoa,0
990,2000,WSM,Independent State of Samoa,0
990,2000,WSM,Independent State of Samoa,0
670,2000,SAU,Kingdom of Saudi Arabia,-10
670,2000,SAU,Kingdom of Saudi Arabia,-10
670,2000,SAU,Kingdom of Saudi Arabia,-10
670,2000,SAU,Kingdom of Saudi Arabia,-10
670,2000,SAU,Kingdom of Saudi Arabia,-10
670,2000,SAU,Kingdom of Saudi Arabia,-10
670,2000,SAU,Kingdom of Saudi Arabia,-10
670,2000,SAU,Kingdom of Saudi Arabia,-10
670,2000,SAU,Kingdom of Saudi Arabia,-10
670,2000,SAU,Kingdom of Saudi Arabia,-10
670,2000,SAU,Kingdom of Saudi Arabia,-10
670,2000,SAU,Kingdom of Saudi Arabia,-10
670,2000,SAU,Kingdom of Saudi Arabia,-10
670,2000,SAU,Kingdom of Saudi Arabia,-10
670,2000,SAU,Kingdom of Saudi Arabia,-10
694,2000,QAT,State of Qatar,-10
694,2000,QAT,State of Qatar,-10
694,2000,QAT,State of Qatar,-10
694,2000,QAT,State of Qatar,-10
694,2000,QAT,State of Qatar,-10
694,2000,QAT,State of Qatar,-10
694,2000,QAT,State of Qatar,-10
694,2000,QAT,State of Qatar,-10
694,2000,QAT,State of Qatar,-10
572,2000,SWA,Kingdom of Swaziland,-9
572,2000,SWA,Kingdom of Swaziland,-9
572,2000,SWA,Kingdom of Swaziland,-9
572,2000,SWA,Kingdom of Swaziland,-9
572,2000,SWA,Kingdom of Swaziland,-9
572,2000,SWA,Kingdom of Swaziland,-9
572,2000,SWA,Kingdom of Swaziland,-9
572,2000,SWA,Kingdom of Swaziland,-9
572,2000,SWA,Kingdom of Swaziland,-9
645,2000,IRQ,Republic of Iraq,-9
645,2000,IRQ,Republic of Iraq,-9
645,2000,IRQ,Republic of Iraq,-9
645,2000,IRQ,Republic of Iraq,-9
645,2000,IRQ,Republic of Iraq,-9
645,2000,IRQ,Republic of Iraq,-9
645,2000,IRQ,Republic of Iraq,-9
645,2000,IRQ,Republic of Iraq,-9
645,2000,IRQ,Republic of Iraq,-9
645,2000,IRQ,Republic of Iraq,-9
645,2000,IRQ,Republic of Iraq,-9
645,2000,IRQ,Republic of Iraq,-9
645,2000,IRQ,Republic of Iraq,-9
692,2000,BAH,Kingdom of Bahrain,-9
692,2000,BAH,Kingdom of Bahrain,-9
692,2000,BAH,Kingdom of Bahrain,-9
692,2000,BAH,Kingdom of Bahrain,-9
692,2000,BAH,Kingdom of Bahrain,-9
692,2000,BAH,Kingdom of Bahrain,-9
692,2000,BAH,Kingdom of Bahrain,-9
692,2000,BAH,Kingdom of Bahrain,-9
698,2000,OMA,Sultanate of Oman,-9
698,2000,OMA,Sultanate of Oman,-9
698,2000,OMA,Sultanate of Oman,-9
698,2000,OMA,Sultanate of Oman,-9
698,2000,OMA,Sultanate of Oman,-9
698,2000,OMA,Sultanate of Oman,-9
698,2000,OMA,Sultanate of Oman,-9
698,2000,OMA,Sultanate of Oman,-9
698,2000,OMA,Sultanate of Oman,-9
698,2000,OMA,Sultanate of Oman,-9
701,2000,TKM,,-9
701,2000,TKM,,-9
701,2000,TKM,,-9
701,2000,TKM,,-9
701,2000,TKM,,-9
701,2000,TKM,,-9
701,2000,TKM,,-9
701,2000,TKM,,-9
701,2000,TKM,,-9
701,2000,TKM,,-9
701,2000,TKM,,-9
704,2000,UZB,Republic of Uzbekistan,-9
704,2000,UZB,Republic of Uzbekistan,-9
704,2000,UZB,Republic of Uzbekistan,-9
704,2000,UZB,Republic of Uzbekistan,-9
704,2000,UZB,Republic of Uzbekistan,-9
704,2000,UZB,Republic of Uzbekistan,-9
