ccode1,ccode2,year,cap_1,cap_2,pol_rel,tau_regi,tau_glob,s_wt_reg,s_wt_glo,alliance,contig_type,colcont_type,colony1,colony2,mzongo,mzongonm,mzinit,mzinitnm,mzhost1,mzhost2,mzkeynum,mzorig1,mzorig2,mzjoanyi,mzjoanyt,mzjomidi,mzjomidt,pcyrs,polity1,polity2,polity21,polity22,cccc,dyad,dyadyear,maxinit,contig,colcont,dem1,dem2,trans1,trans2,aut1,aut2,demdem,demaut,autdem,demtrans,transdem,auttrans,transaut,capshare,cowcivwar1,cowcivwar2,uppcivwar1,uppcivwar2,uppcivcon1,uppcivcon2,uppcivwar,flcivwar1,flcivwar2,igos,expab,impab,expba,impba,exp12,imp12,exp21,imp21,gdp1,gdp2,depend1,depend2,pcyrs1,pcyrs2,pcyrs3,mzinit_lead,lpcyrs,lpcyrs1,lpcyrs2,lpcyrs3,transtrans,cowcivwar,uppcivcon,flcivwar,refugee1,refugee2,logref1,logref2,refflow1,refflow2,logflow1,logflow2,civwar1,civwar2,logref1_lag,logref2_lag
2,20,2001,0.149702,0.011913,1,,,,,,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,10,10,10,2020,2020,20202001,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0.9262878,,,1,0,1,0,1,0,0,,,,,,,,,,9997884,704890.56,,,-26.124325,-24.518919,-22.037838,,,,,,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,31,2001,0.149702,0.000058,1,,,,,,4,5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,10,,10,,2031,2031,20312001,0,1,1,1,,0,,0,0,0,0,0,0,0,0,0,0.9996127,,,1,0,1,0,1,0,0,,,,,,,,,,9997884,4950.1455,,,-10592.043,-18603.79,-17917.578,,,,,,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,40,2001,0.149702,0.001475,1,,,,,,4,4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,-7,10,-7,2040,2040,20402001,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0.9902432,,,1,0,1,0,1,0,0,,,,,,,,,,9997884,28805.572,,,-61.924324,-58.11892,-52.23784,,,,,,0,,1,0,14400,0,2.7343676,0,0,0,0,0,0,0,2.8143902,0
2,41,2001,0.149702,0.002463,1,,,,,,6,4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10,-2,10,-2,2041,2041,20412001,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0.98381364,,,1,0,1,0,1,0,0,,,,,,,,,,9997884,3599.7686,,,-208.9946,-196.15135,-176.3027,,,,,,0,,1,0,5300,0,1.8405496,0,140,0,0.13102826,0,0,0,1.8180767,0
2,42,2001,0.149702,0.00097,1,,,,,,6,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,10,8,10,8,2042,2042,20422001,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0.99356216,,,1,0,1,0,1,0,0,,,,,,,,,,9997884,21597.55,,,-21458.14,-43220.066,-48292.13,,,,,,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,51,2001,0.149702,0.000198,1,,,,,,6,4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,10,9,10,9,2051,2051,20512001,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0.9986791,,,1,0,1,0,1,0,0,,,,,,,,,,9997884,8109.689,,,-21458.14,-43220.066,-48292.13,,,,,,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,52,2001,0.149702,0.000387,1,,,,,,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,10,10,10,10,2052,2052,20522001,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0.9974215,,,1,0,1,0,1,0,0,,,,,,,,,,9997884,8820.414,,,-21458.14,-43220.066,-48292.13,,,,,,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,53,2001,0.149702,0.000025,1,,,,,,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,10,,10,,2053,2053,20532001,0,0,0,1,,0,,0,0,0,0,0,0,0,0,0,0.99983305,,,1,0,1,0,1,0,0,,,,,,,,,,9997884,2529.9685,,,-17095.46,-33103.137,-34994.27,,,,,,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,54,2001,0.149702,0.000003,1,,,,,,6,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,10,,10,,2054,2054,20542001,0,0,1,1,,0,,0,0,0,0,0,0,0,0,0,0.99998,,,1,0,1,0,1,0,0,,,,,,,,,,9997884,264.00003,,,-6859.3945,-10832.951,-9930.902,,,,,,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,55,2001,0.149702,0.000004,1,,,,,,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,10,,10,,2055,2055,20552001,0,0,0,1,,0,,0,0,0,0,0,0,0,0,0,0.9999733,,,1,0,1,0,1,0,0,,,,,,,,,,9997884,398.00003,,,-3422.6597,-4461.535,-4010.0703,,,,,,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,56,2001,0.149702,0.000006,1,,,,,,6,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,10,,10,,2056,2056,20562001,0,0,1,1,,0,,0,0,0,0,0,0,0,0,0,0.99995995,,,1,0,1,0,1,0,0,,,,,,,,,,9997884,653.97296,,,-6206.659,-9544.535,-8691.07,,,,,,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,57,2001,0.149702,0.000004,1,,,,,,6,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,10,,10,,2057,2057,20572001,0,0,1,1,,0,,0,0,0,0,0,0,0,0,0,0.9999733,,,1,0,1,0,1,0,0,,,,,,,,,,9997884,346.00003,,,-6206.659,-9544.535,-8691.07,,,,,,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,58,2001,0.149702,0.000005,1,,,,,,6,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,10,,10,,2058,2058,20582001,0,0,1,1,,0,,0,0,0,0,0,0,0,0,0,0.9999666,,,1,0,1,0,1,0,0,,,,,,,,,,9997884,697.9955,,,-4996.5405,-7237.8647,-6529.7295,,,,,,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,60,2001,0.149702,0.000002,1,,,,,,6,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,10,,10,,2060,2060,20602001,0,0,1,1,,0,,0,0,0,0,0,0,0,0,0,0.99998665,,,1,0,1,0,1,0,0,,,,,,,,,,9997884,344.00003,,,-3914.854,-5295.0864,-4760.173,,,,,,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,70,2001,0.149702,0.014764,1,,,,,,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,10,8,10,8,2070,2070,20702001,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0.9102307,,,1,0,1,0,1,0,0,,,,,,,,,,9997884,622149.44,,,-27549.273,-57673.28,-68528.56,,,,,,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,80,2001,0.149702,0.000021,1,,,,,,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,10,,10,,2080,2080,20802001,0,0,0,1,,0,,0,0,0,0,0,0,0,0,0,0.99985975,,,1,0,1,0,1,0,0,,,,,,,,,,9997884,868.2512,,,-4996.5405,-7237.8647,-6529.7295,,,,,,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,90,2001,0.149702,0.00081,1,,,,,,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,10,8,10,8,2090,2090,20902001,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0.99461836,,,1,0,1,0,1,0,0,,,,,,,,,,9997884,20998.207,,,-25029.148,-51654.914,-59959.83,,,,,,0,,1,0,0,0,0,0,0,0,0,0,0,0,1.5286616,0
2,91,2001,0.149702,0.000505,1,,,,,,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,10,7,10,7,2091,2091,20912001,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0.996638,,,1,0,1,0,1,0,0,,,,,,,,,,9997884,6401.8276,,,-71678.06,-167557.88,-241479.75,,,,,,0,,1,0,0,0,0,0,0,0,0,0,0,0,0.4239597,0
